,Date,Open,High,Low,Close,Adj Close,Volume,daily_return,Vader_Text_polarity,polarity_score_change,pos_count,neg_count,neu_count,tweet_count
111,2018-09-06,11.59,11.66,11.11,11.4,11.4,2416400.0,0.0008779631255487082,1.2508000000000001,-1.7143000000000004,5.0,2.0,8.0,15.0
112,2018-09-07,11.26,11.88,11.0,11.71,11.71,2973200.0,0.027192982456140394,3.7084,2.4576000000000002,8.0,0.0,10.0,18.0
805,2018-09-08,,,,,,,,4.276800000000001,0.5684000000000005,9.0,1.0,4.0,14.0
806,2018-09-09,,,,,,,,1.2865000000000002,-2.9903000000000004,10.0,6.0,3.0,19.0
113,2018-09-10,11.73,11.94,11.31,11.31,11.31,2528300.0,-0.034158838599487644,7.3664,6.079899999999999,11.0,0.0,8.0,19.0
114,2018-09-11,11.11,11.99,11.11,11.84,11.84,3510300.0,0.046861184792219214,3.8299,-3.5364999999999998,8.0,4.0,5.0,17.0
115,2018-09-12,12.0,13.68,11.89,13.03,13.03,9417300.0,0.10050675675675672,3.9057,0.07580000000000009,13.0,3.0,12.0,28.0
116,2018-09-13,13.46,14.12,13.161,13.35,13.35,6425300.0,0.02455871066768997,7.5786999999999995,3.6729999999999996,15.0,4.0,7.0,26.0
117,2018-09-14,13.29,13.66,12.91,13.52,13.52,3904800.0,0.01273408239700374,0.9120999999999999,-6.6666,3.0,3.0,3.0,9.0
807,2018-09-15,,,,,,,,3.1987999999999994,2.2866999999999997,7.0,3.0,3.0,13.0
808,2018-09-16,,,,,,,,2.5161,-0.6826999999999996,7.0,3.0,2.0,12.0
118,2018-09-17,13.29,13.5,12.775,13.23,13.23,3328900.0,-0.02144970414201177,4.3002,1.7841000000000005,8.0,1.0,11.0,20.0
119,2018-09-18,13.4,14.07,13.13,13.76,13.76,3956200.0,0.040060468631897155,3.9945999999999997,-0.30560000000000054,8.0,1.0,7.0,16.0
120,2018-09-19,13.69,14.0,13.2,13.22,13.22,2756300.0,-0.039244186046511566,5.9409,1.9463000000000004,9.0,2.0,5.0,16.0
121,2018-09-20,13.49,13.69,12.97,13.44,13.44,2206200.0,0.016641452344931834,3.2918,-2.6491000000000002,9.0,2.0,2.0,13.0
122,2018-09-21,13.45,13.67,12.36,12.43,12.43,5074600.0,-0.0751488095238095,1.5479000000000003,-1.7438999999999996,8.0,2.0,6.0,16.0
809,2018-09-22,,,,,,,,3.3079,1.7599999999999998,7.0,3.0,5.0,15.0
810,2018-09-23,,,,,,,,-0.09849999999999998,-3.4064,2.0,3.0,6.0,11.0
123,2018-09-24,11.7,12.231,11.28,12.0,12.0,5842200.0,-0.03459372485921156,1.3855999999999997,1.4840999999999998,8.0,7.0,7.0,22.0
124,2018-09-25,12.0,12.659,11.7,12.55,12.55,3393300.0,0.04583333333333339,3.9098999999999995,2.5242999999999998,13.0,4.0,6.0,23.0
125,2018-09-26,12.49,13.42,12.45,12.87,12.87,4916700.0,0.02549800796812737,4.000299999999999,0.09039999999999981,7.0,1.0,2.0,10.0
126,2018-09-27,12.87,13.1,12.73,13.02,13.02,2278900.0,0.011655011655011684,1.9042999999999999,-2.095999999999999,5.0,0.0,0.0,5.0
127,2018-09-28,12.9,13.69,12.89,13.48,13.48,4170800.0,0.035330261136712816,,,,,,
128,2018-10-01,13.7,14.085,13.57,13.95,13.95,3226400.0,0.034866468842729884,,,,,,
129,2018-10-02,13.4,13.7,12.84,13.31,13.31,4114300.0,-0.04587813620071676,,,,,,
130,2018-10-03,15.15,15.5,14.03,14.37,14.37,18033500.0,0.07963936889556715,,,,,,
131,2018-10-04,14.14,14.44,12.885,13.55,13.55,6889500.0,-0.057063326374390995,,,,,,
132,2018-10-05,13.37,13.88,12.9,13.35,13.35,4572100.0,-0.014760147601476092,,,,,,
811,2018-10-07,,,,,,,,0.6486,-1.2557,1.0,0.0,0.0,1.0
133,2018-10-08,12.72,13.74,12.65,13.63,13.63,3539400.0,0.020973782771535665,8.342,7.6934000000000005,22.0,5.0,14.0,41.0
134,2018-10-09,13.31,13.535,13.0,13.17,13.17,2463100.0,-0.033749082905355894,21.6215,13.2795,40.0,5.0,18.0,63.0
135,2018-10-10,13.26,13.26,12.1,12.42,12.42,3842200.0,-0.05694760820045558,11.306300000000002,-10.315199999999999,18.0,1.0,14.0,33.0
136,2018-10-11,12.03,12.9,12.02,12.69,12.69,3187200.0,0.021739130434782573,1.7653999999999999,-9.540900000000002,6.0,4.0,2.0,12.0
137,2018-10-12,13.37,13.85,13.28,13.71,13.71,4143800.0,0.08037825059101666,-0.7702,-2.5355999999999996,5.0,7.0,18.0,30.0
812,2018-10-13,,,,,,,,3.9310000000000005,4.7012,7.0,1.0,3.0,11.0
813,2018-10-14,,,,,,,,3.056,-0.8750000000000004,5.0,0.0,4.0,9.0
138,2018-10-15,13.28,14.18,13.26,13.95,13.95,3159600.0,0.017505470459518484,1.7802,-1.2758,3.0,0.0,5.0,8.0
139,2018-10-16,14.0,14.29,13.258,13.46,13.46,4059800.0,-0.03512544802867373,2.3945,0.6142999999999998,6.0,0.0,7.0,13.0
140,2018-10-17,13.67,13.72,12.91,13.25,13.25,2130200.0,-0.01560178306092131,5.4859,3.0914,11.0,4.0,14.0,29.0
