Date,Open,High,Low,Close,Adj Close,Volume
2020-07-03,28.400000,28.400000,26.799999,27.549999,27.202595,3448488
2020-07-06,27.549999,28.600000,27.200001,28.299999,27.943138,6360966
2020-07-07,28.650000,29.200001,27.850000,28.250000,27.893768,6744241
2020-07-08,28.049999,28.700001,27.000000,27.600000,27.251965,12998709
2020-07-09,27.750000,28.700001,27.200001,28.100000,27.745661,7713689
2020-07-10,27.650000,28.549999,27.400000,27.650000,27.301334,4447054
2020-07-13,27.700001,30.850000,27.700001,30.650000,30.263504,13106651
2020-07-14,31.900000,33.700001,30.799999,31.200001,30.806570,15671430
2020-07-15,32.000000,35.450001,32.000000,34.500000,34.064957,16941236
2020-07-16,34.849998,34.950001,30.700001,31.299999,30.905308,23537675
2020-07-17,31.750000,33.750000,30.799999,33.349998,32.929455,8203313
2020-07-20,34.200001,35.299999,33.299999,34.099998,33.669998,9325766
2020-07-21,34.650002,36.750000,34.450001,35.900002,35.900002,10613140
2020-07-22,36.250000,36.250000,34.299999,34.549999,34.549999,6293558
2020-07-23,35.799999,38.099998,35.799999,38.049999,38.049999,19921743
2020-07-24,37.000000,40.150002,35.599998,35.849998,35.849998,23280162
2020-07-27,36.299999,39.500000,36.250000,38.049999,38.049999,21452198
2020-07-28,38.900002,39.000000,34.750000,35.500000,35.500000,21210461
2020-07-29,35.150002,37.799999,34.799999,37.049999,37.049999,16581500
2020-07-30,37.650002,39.799999,36.650002,37.549999,37.549999,21453893
2020-07-31,37.599998,38.049999,36.150002,36.650002,36.650002,12573420
2020-08-03,37.150002,38.700001,36.349998,38.450001,38.450001,16756579
2020-08-04,38.500000,40.799999,38.000000,38.150002,38.150002,20169770
2020-08-05,37.799999,40.400002,37.299999,40.099998,40.099998,14049280
2020-08-06,40.700001,41.599998,38.799999,39.500000,39.500000,14341373
2020-08-07,39.500000,39.500000,36.849998,37.750000,37.750000,14228820
2020-08-10,37.349998,37.500000,36.400002,36.700001,36.700001,7121044
2020-08-11,36.500000,37.099998,35.500000,35.799999,35.799999,6138154
2020-08-12,35.299999,36.000000,33.400002,34.200001,34.200001,8339413
2020-08-13,34.950001,35.700001,34.450001,34.700001,34.700001,4138884
2020-08-14,35.299999,35.299999,33.799999,34.400002,34.400002,3949102
2020-08-17,34.150002,35.000000,34.099998,34.750000,34.750000,4204119
2020-08-18,34.750000,35.150002,33.349998,33.900002,33.900002,7401375
2020-08-19,33.599998,33.599998,32.400002,32.549999,32.549999,5857406
2020-08-20,32.450001,32.799999,31.900000,32.299999,32.299999,6250300
2020-08-21,32.700001,32.950001,31.600000,31.950001,31.950001,4543805
2020-08-24,31.950001,32.450001,31.450001,31.900000,31.900000,3637619
2020-08-25,32.299999,32.299999,30.750000,31.250000,31.250000,6449152
2020-08-26,30.850000,33.200001,30.850000,31.799999,31.799999,5869940
2020-08-27,32.500000,33.150002,31.400000,33.150002,33.150002,5992404
2020-08-28,33.500000,33.900002,32.450001,32.950001,32.950001,8188980
2020-08-31,33.250000,33.500000,32.450001,32.750000,32.750000,4731874
2020-09-01,32.750000,32.750000,31.650000,31.750000,31.750000,3492173
2020-09-02,31.799999,32.150002,31.049999,31.650000,31.650000,3807000
2020-09-03,32.000000,32.900002,31.400000,31.750000,31.750000,5024000
2020-09-04,31.200001,31.250000,30.000000,30.600000,30.600000,6916000
2020-09-07,30.549999,30.900000,30.049999,30.700001,30.700001,3684729
2020-09-08,31.200001,31.450001,30.200001,31.450001,31.450001,3079808
2020-09-09,30.549999,31.350000,30.450001,31.000000,31.000000,3054700
2020-09-10,31.600000,31.750000,30.500000,30.900000,30.900000,2808944
2020-09-11,30.700001,31.400000,30.650000,31.250000,31.250000,1364002
2020-09-14,31.450001,32.099998,31.250000,31.650000,31.650000,2523209
2020-09-15,31.850000,32.950001,31.650000,32.950001,32.950001,4083985
2020-09-16,33.000000,33.200001,31.799999,32.099998,32.099998,3443000
2020-09-17,32.450001,32.450001,31.100000,31.500000,31.500000,2928194
2020-09-18,31.799999,32.200001,31.450001,32.099998,32.099998,2237522
2020-09-21,32.099998,32.400002,31.350000,31.549999,31.549999,1989676
2020-09-22,31.400000,32.700001,31.299999,31.500000,31.500000,2968100
2020-09-23,31.500000,34.450001,31.150000,34.400002,34.400002,9559957
2020-09-24,33.799999,34.299999,32.950001,32.950001,32.950001,5981936
2020-09-25,33.599998,34.950001,32.799999,33.000000,33.000000,6972143
2020-09-28,33.849998,33.849998,32.000000,32.000000,32.000000,3354100
2020-09-29,32.099998,33.349998,32.099998,32.599998,32.599998,2909757
2020-09-30,33.049999,33.150002,31.700001,32.150002,32.150002,2020500
2020-10-05,32.599998,33.049999,31.100000,31.100000,31.100000,2328712
2020-10-06,31.549999,32.099998,31.100000,31.900000,31.900000,1586752
2020-10-07,32.000000,32.599998,31.500000,32.599998,32.599998,2344502
2020-10-08,32.700001,33.950001,32.700001,33.950001,33.950001,3109439
2020-10-09,34.700001,35.250000,34.000000,34.700001,34.700001,9515014
2020-10-12,34.900002,35.000000,34.250000,34.750000,34.750000,4893884
2020-10-14,35.099998,36.900002,35.099998,35.950001,35.950001,10176632
2020-10-15,35.950001,35.950001,34.500000,34.549999,34.549999,6089889
2020-10-16,34.900002,35.450001,34.299999,35.049999,35.049999,4276500
2020-10-19,35.700001,35.700001,34.049999,34.049999,34.049999,3656116
2020-10-20,34.150002,34.849998,33.700001,34.549999,34.549999,2529236
2020-10-21,34.500000,34.900002,33.799999,33.849998,33.849998,4843534
2020-10-22,33.849998,34.200001,33.200001,33.299999,33.299999,5887100
2020-10-23,33.200001,33.799999,32.250000,32.799999,32.799999,4426242
2020-10-27,32.750000,33.349998,32.200001,32.950001,32.950001,3640946
2020-10-28,32.700001,33.049999,31.750000,31.750000,31.750000,4349874
2020-10-29,31.100000,32.549999,30.950001,32.200001,32.200001,5365708
2020-10-30,33.299999,33.400002,31.400000,31.850000,31.850000,5411886
2020-11-02,31.799999,32.549999,31.000000,32.500000,32.500000,4065269
2020-11-03,32.650002,32.700001,31.600000,32.200001,32.200001,3202781
2020-11-04,32.400002,32.400002,31.750000,32.049999,32.049999,2716035
2020-11-05,32.200001,33.000000,32.200001,32.549999,32.549999,3868622
2020-11-06,32.500000,32.750000,30.900000,31.799999,31.799999,5918526
2020-11-09,31.600000,32.799999,31.600000,32.700001,32.700001,4126000
2020-11-10,37.599998,39.500000,35.700001,37.349998,37.349998,36485974
